,type,date(yyyyMMddHHmmss),author,message,latitude,longitude,location,spam,hashtags,sentiment_score,sentiment,datetime,tokens,keywords,labels,fire,crime,emergency
17,mbdata,2.01401E+13,rrWine,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:01:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
18,mbdata,2.01401E+13,KronosQuoth,if you're going through hell keep going.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0,1,2014-01-23 17:01:19,"['if', 'you', ""'re"", 'going', 'through', 'hell', 'keep', 'going', '.', '#', 'pokrally', '#', 'hi']","[""'re"", 'going', 'hell', 'keep', 'going', 'pokrally']",[],[],[],[]
19,mbdata,2.01401E+13,KronosQuoth,you miss 100% of the shots you dont take.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0,1,2014-01-23 17:01:19,"['you', 'miss', '100', '%', 'of', 'the', 'shots', 'you', 'dont', 'take', '.', '#', 'kronosstar', '#', 'pokrally']","['miss', '100', '%', 'shots', 'dont', 'take', 'kronosstar', 'pokrally']",['crime'],[],"['shots', 'shots', 'shots']",[]
20,mbdata,2.01401E+13,KronosQuoth,you may only succeed if you desire succeeding; you may only fail if you do not mind failing.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",-0.166666667,0,2014-01-23 17:01:19,"['you', 'may', 'only', 'succeed', 'if', 'you', 'desire', 'succeeding', ';', 'you', 'may', 'only', 'fail', 'if', 'you', 'do', 'not', 'mind', 'failing', '.', '#', 'pokrally', '#', 'hi']","['may', 'succeed', 'desire', 'succeeding', ';', 'may', 'fail', 'mind', 'failing', 'pokrally']",[],[],[],[]
21,mbdata,2.01401E+13,KronosQuoth,i didnt fail the test. i just found 100 ways to do it wrong.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",-0.5,0,2014-01-23 17:01:19,"['i', 'didnt', 'fail', 'the', 'test', '.', 'i', 'just', 'found', '100', 'ways', 'to', 'do', 'it', 'wrong', '.', '#', 'kronosstar', '#', 'pokrally']","['didnt', 'fail', 'test', 'found', '100', 'ways', 'wrong', 'kronosstar', 'pokrally']",[],[],[],[]
22,mbdata,2.01401E+13,KronosQuoth,"to accomplish great things, we must not only act, but also dream, not only plan, but also believe. #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.266666667,1,2014-01-23 17:01:50,"['to', 'accomplish', 'great', 'things', ',', 'we', 'must', 'not', 'only', 'act', ',', 'but', 'also', 'dream', ',', 'not', 'only', 'plan', ',', 'but', 'also', 'believe', '.', '#', 'pokrally', '#', 'hi']","['accomplish', 'great', 'things', 'must', 'act', 'also', 'dream', 'plan', 'also', 'believe', 'pokrally']",[],[],[],[]
23,mbdata,2.01401E+13,KronosQuoth,"thinking should become your capital asset, no matter whatever ups and downs you come across in your life.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0,1,2014-01-23 17:01:50,"['thinking', 'should', 'become', 'your', 'capital', 'asset', ',', 'no', 'matter', 'whatever', 'ups', 'and', 'downs', 'you', 'come', 'across', 'in', 'your', 'life', '.', '#', 'pokrally', '#', 'hi']","['thinking', 'become', 'capital', 'asset', 'matter', 'whatever', 'ups', 'downs', 'come', 'across', 'life', 'pokrally']",[],[],[],[]
24,mbdata,2.01401E+13,KronosQuoth,don't be afraid to give up the good to go for the great.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.3,1,2014-01-23 17:01:50,"['do', ""n't"", 'be', 'afraid', 'to', 'give', 'up', 'the', 'good', 'to', 'go', 'for', 'the', 'great', '.', '#', 'pokrally', '#', 'hi']","['afraid', 'give', 'good', 'go', 'great', 'pokrally']",[],[],[],[]
25,mbdata,2.01401E+13,pinky,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:02:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
26,mbdata,2.01401E+13,BlueVelvet,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:02:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
27,mbdata,2.01401E+13,dragonRider1,"rt @mindofkronos ugh, these pokers are anooying! #pok #gowaway",,,,1,"['#POK', '#gowaway']",0,1,2014-01-23 17:02:00,"['rt', '@', 'mindofkronos', 'ugh', ',', 'these', 'pokers', 'are', 'anooying', '!', '#', 'pok', '#', 'gowaway']","['mindofkronos', 'ugh', 'pokers', 'anooying', 'pok', 'gowaway']",[],[],[],[]
28,ccdata,2.01401E+13,,traffic stop,,,N. Els St / N. Polvo St,1,[],0,1,2014-01-23 17:02:10,"['traffic', 'stop']","['traffic', 'stop']",['emergency'],[],[],"['traffic', 'traffic', 'traffic', 'traffic']"
29,mbdata,2.01401E+13,Clevvah4Evah,youre the penultimate girlfriend! #pok #rally #grammar,,,,1,"['#POK', '#Rally', '#Grammar']",0,1,2014-01-23 17:02:21,"['youre', 'the', 'penultimate', 'girlfriend', '!', '#', 'pok', '#', 'rally', '#', 'grammar']","['youre', 'penultimate', 'girlfriend', 'pok', 'rally', 'grammar']",[],[],[],[]
30,mbdata,2.01401E+13,KronosQuoth,i am not a product of my circumstances. i am a product of my decisions.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0,1,2014-01-23 17:02:21,"['i', 'am', 'not', 'a', 'product', 'of', 'my', 'circumstances', '.', 'i', 'am', 'a', 'product', 'of', 'my', 'decisions', '.', '#', 'kronosstar', '#', 'pokrally']","['product', 'circumstances', 'product', 'decisions', 'kronosstar', 'pokrally']",[],[],[],[]
31,mbdata,2.01401E+13,KronosQuoth,"success is...knowing your purpose in life, growing to reach your maximum potential, and sowing seeds that benefit others.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.15,1,2014-01-23 17:02:21,"['success', 'is', '...', 'knowing', 'your', 'purpose', 'in', 'life', ',', 'growing', 'to', 'reach', 'your', 'maximum', 'potential', ',', 'and', 'sowing', 'seeds', 'that', 'benefit', 'others', '.', '#', 'pokrally', '#', 'hi']","['success', '...', 'knowing', 'purpose', 'life', 'growing', 'reach', 'maximum', 'potential', 'sowing', 'seeds', 'benefit', 'others', 'pokrally']",[],[],[],[]
32,mbdata,2.01401E+13,KronosQuoth,the only person you are destined to become is the person you decide to be.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0,1,2014-01-23 17:02:21,"['the', 'only', 'person', 'you', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'you', 'decide', 'to', 'be', '.', '#', 'kronosstar', '#', 'pokrally']","['person', 'destined', 'become', 'person', 'decide', 'kronosstar', 'pokrally']",[],[],[],[]
33,mbdata,2.01401E+13,POK,pok leader sylvia market taking the stage for a warm welcome to the crowd,,,,1,[],0.7,1,2014-01-23 17:02:31,"['pok', 'leader', 'sylvia', 'market', 'taking', 'the', 'stage', 'for', 'a', 'warm', 'welcome', 'to', 'the', 'crowd']","['pok', 'leader', 'sylvia', 'market', 'taking', 'stage', 'warm', 'welcome', 'crowd']",[],[],[],[]
34,mbdata,2.01401E+13,AbilaPost,concerns of violence surround pok rally today heavy police presence #abilapost,,,,0,['#AbilaPost'],-0.2,0,2014-01-23 17:02:31,"['concerns', 'of', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', '#', 'abilapost']","['concerns', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', 'abilapost']",['crime'],[],"['violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police']",[]
35,mbdata,2.01401E+13,KronosQuoth,it is never too late to be what you might have been.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",-0.3,0,2014-01-23 17:02:46,"['it', 'is', 'never', 'too', 'late', 'to', 'be', 'what', 'you', 'might', 'have', 'been', '.', '#', 'kronosstar', '#', 'pokrally']","['never', 'late', 'might', 'kronosstar', 'pokrally']",[],[],[],[]
36,mbdata,2.01401E+13,KronosQuoth,you may have to fight a battle more than once to win it.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.65,1,2014-01-23 17:02:46,"['you', 'may', 'have', 'to', 'fight', 'a', 'battle', 'more', 'than', 'once', 'to', 'win', 'it', '.', '#', 'pokrally', '#', 'hi']","['may', 'fight', 'battle', 'win', 'pokrally']",['emergency'],[],[],"['fight', 'battle', 'fight', 'battle', 'fight', 'battle', 'fight', 'battle']"
37,mbdata,2.01401E+13,KronosQuoth,"in order to succeed, your desire for success should be greater than your fear of failure.  #kronosstar #pokrally",,,,1,"['#KronosStar', '#POKRally']",0.161111111,1,2014-01-23 17:02:46,"['in', 'order', 'to', 'succeed', ',', 'your', 'desire', 'for', 'success', 'should', 'be', 'greater', 'than', 'your', 'fear', 'of', 'failure', '.', '#', 'kronosstar', '#', 'pokrally']","['order', 'succeed', 'desire', 'success', 'greater', 'fear', 'failure', 'kronosstar', 'pokrally']",['emergency'],[],[],"['fear', 'fear', 'fear', 'fear']"
38,mbdata,2.01401E+13,KronosQuoth,"if you want your children to turn out well, spend twice as much time with them, and half as much money.  #kronosstar #pokrally",,,,1,"['#KronosStar', '#POKRally']",0.077777778,1,2014-01-23 17:02:46,"['if', 'you', 'want', 'your', 'children', 'to', 'turn', 'out', 'well', ',', 'spend', 'twice', 'as', 'much', 'time', 'with', 'them', ',', 'and', 'half', 'as', 'much', 'money', '.', '#', 'kronosstar', '#', 'pokrally']","['want', 'children', 'turn', 'well', 'spend', 'twice', 'much', 'time', 'half', 'much', 'money', 'kronosstar', 'pokrally']",[],[],[],[]
39,mbdata,2.01401E+13,blueSunshine,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:03:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
40,mbdata,2.01401E+13,dtennent,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:03:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
41,mbdata,2.01401E+13,BlueVelvet,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:03:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
42,mbdata,2.01401E+13,KronosQuoth,its not the years in your life that count. its the life in your years.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0,1,2014-01-23 17:03:16,"['its', 'not', 'the', 'years', 'in', 'your', 'life', 'that', 'count', '.', 'its', 'the', 'life', 'in', 'your', 'years', '.', '#', 'kronosstar', '#', 'pokrally']","['years', 'life', 'count', 'life', 'years', 'kronosstar', 'pokrally']",[],[],[],[]
43,mbdata,2.01401E+13,KronosQuoth,"if you don't value your time, neither will others. stop giving away your time and talents- start charging for it.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0,1,2014-01-23 17:03:16,"['if', 'you', 'do', ""n't"", 'value', 'your', 'time', ',', 'neither', 'will', 'others', '.', 'stop', 'giving', 'away', 'your', 'time', 'and', 'talents-', 'start', 'charging', 'for', 'it', '.', '#', 'pokrally', '#', 'hi']","['value', 'time', 'neither', 'others', 'stop', 'giving', 'away', 'time', 'talents-', 'start', 'charging', 'pokrally']",[],[],[],[]
44,mbdata,2.01401E+13,klingon4real,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,,,,0,['#AbilaPost'],-0.2,0,2014-01-23 17:03:31,"['rt', '@', 'abilapost', 'concerns', 'of', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', '#', 'abilapost']","['abilapost', 'concerns', 'violence', 'surround', 'pok', 'rally', 'today', 'heavy', 'police', 'presence', 'abilapost']",['crime'],[],"['violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police']",[]
45,mbdata,2.01401E+13,KronosQuoth,"if you don't value your time, neither will others. stop giving away your time and talents- start charging for it.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0,1,2014-01-23 17:03:38,"['if', 'you', 'do', ""n't"", 'value', 'your', 'time', ',', 'neither', 'will', 'others', '.', 'stop', 'giving', 'away', 'your', 'time', 'and', 'talents-', 'start', 'charging', 'for', 'it', '.', '#', 'pokrally', '#', 'hi']","['value', 'time', 'neither', 'others', 'stop', 'giving', 'away', 'time', 'talents-', 'start', 'charging', 'pokrally']",[],[],[],[]
46,mbdata,2.01401E+13,POK,sylvia marek is introducing the guests,,,,1,[],0,1,2014-01-23 17:03:44,"['sylvia', 'marek', 'is', 'introducing', 'the', 'guests']","['sylvia', 'marek', 'introducing', 'guests']",[],[],[],[]
47,mbdata,2.01401E+13,CentralBulletin,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,,,,0,"['#Abila', '#CentralBulletin']",-0.2,0,2014-01-23 17:03:44,"['pok', 'rally', 'today', 'in', 'abila', 'city', 'park', 'concerns', 'of', 'violence', 'and', 'heavy', 'police', 'presence', '#', 'abila', '#', 'centralbulletin']","['pok', 'rally', 'today', 'abila', 'city', 'park', 'concerns', 'violence', 'heavy', 'police', 'presence', 'abila', 'centralbulletin']",['crime'],[],"['violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police']",[]
48,mbdata,2.01401E+13,choconibbs,marek - terrorist introducing more terrorists #pokrally,,,,1,['#POKRally'],0.5,1,2014-01-23 17:03:44,"['marek', '-', 'terrorist', 'introducing', 'more', 'terrorists', '#', 'pokrally']","['marek', 'terrorist', 'introducing', 'terrorists', 'pokrally']",['crime'],[],"['terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists', 'terrorist', 'terrorists']",[]
49,mbdata,2.01401E+13,FriendsOfKronos,how long until pok terrorists start destroying the park,,,,1,[],-0.125,0,2014-01-23 17:03:44,"['how', 'long', 'until', 'pok', 'terrorists', 'start', 'destroying', 'the', 'park']","['long', 'pok', 'terrorists', 'start', 'destroying', 'park']",['crime'],[],"['terrorists', 'terrorists', 'terrorists', 'terrorists', 'terrorists', 'terrorists', 'terrorists', 'terrorists', 'terrorists']",[]
50,mbdata,2.01401E+13,sarajane,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:04:00,"['rt', '@', 'abilapost', 'pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['abilapost', 'pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
51,mbdata,2.01401E+13,wiseWords,rt @ourcountryourrights pok rally in the park tonight! #pokrally,,,,1,['#POKrally'],0,1,2014-01-23 17:04:00,"['rt', '@', 'ourcountryourrights', 'pok', 'rally', 'in', 'the', 'park', 'tonight', '!', '#', 'pokrally']","['ourcountryourrights', 'pok', 'rally', 'park', 'tonight', 'pokrally']",[],[],[],[]
52,mbdata,2.01401E+13,KronosQuoth,the secret of the universe depends on intrinsic timelessness #pokrally #hi,,,,1,"['#POKRally', '#HI']",-0.4,0,2014-01-23 17:04:03,"['the', 'secret', 'of', 'the', 'universe', 'depends', 'on', 'intrinsic', 'timelessness', '#', 'pokrally', '#', 'hi']","['secret', 'universe', 'depends', 'intrinsic', 'timelessness', 'pokrally']",[],[],[],[]
53,mbdata,2.01401E+13,KronosQuoth,"the function of leadership is to produce more leaders, not more followers.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0.125,1,2014-01-23 17:04:33,"['the', 'function', 'of', 'leadership', 'is', 'to', 'produce', 'more', 'leaders', ',', 'not', 'more', 'followers', '.', '#', 'pokrally', '#', 'hi']","['function', 'leadership', 'produce', 'leaders', 'followers', 'pokrally']",[],[],[],[]
54,mbdata,2.01401E+13,phantomagate,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,,,,0,"['#Abila', '#CentralBulletin']",-0.2,0,2014-01-23 17:04:44,"['rt', '@', 'centralbulletin', 'pok', 'rally', 'today', 'in', 'abila', 'city', 'park', 'concerns', 'of', 'violence', 'and', 'heavy', 'police', 'presence', '#', 'abila', '#', 'centralbulletin']","['centralbulletin', 'pok', 'rally', 'today', 'abila', 'city', 'park', 'concerns', 'violence', 'heavy', 'police', 'presence', 'abila', 'centralbulletin']",['crime'],[],"['violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police', 'violence', 'police']",[]
55,mbdata,2.01401E+13,KronosQuoth,"it's not what you look at that matters, it's what you see.  #pokrally #hi",,,,1,"['#POKRally', '#HI']",0,1,2014-01-23 17:04:59,"['it', ""'s"", 'not', 'what', 'you', 'look', 'at', 'that', 'matters', ',', 'it', ""'s"", 'what', 'you', 'see', '.', '#', 'pokrally', '#', 'hi']","['look', 'matters', 'see', 'pokrally']",[],[],[],[]
